region_code,province_name,region_name,representative_latitude,representative_longitude
37600,경상북도,예천군,36.653813,128.422365
37610,경상북도,봉화군,36.934169,128.912977
37620,경상북도,울진군,36.929158,129.310679
37630,경상북도,울릉군,37.502332,130.862965
38030,경상남도,진주시,35.205164,128.129867
38050,경상남도,통영시,34.863597,128.416895
38060,경상남도,사천시,35.022392,128.094975
38070,경상남도,김해시,35.272163,128.845204
38080,경상남도,밀양시,35.498504,128.789630
38090,경상남도,거제시,34.875667,128.620772
38100,경상남도,양산시,35.401872,129.041050
38111,경상남도,창원시 의창구,35.309074,128.649531
38112,경상남도,창원시 성산구,35.209640,128.672132
38113,경상남도,창원시 마산합포구,35.150206,128.485551
38114,경상남도,창원시 마산회원구,35.250286,128.536784
38115,경상남도,창원시 진해구,35.138712,128.757971
38510,경상남도,의령군,35.392415,128.277087
38520,경상남도,함안군,35.290974,128.430838
38530,경상남도,창녕군,35.508289,128.492984
38540,경상남도,고성군,35.004110,128.256137
38550,경상남도,남해군,34.837743,127.881717
38560,경상남도,하동군,35.137634,127.805273
38570,경상남도,산청군,35.368587,127.884332
38580,경상남도,함양군,35.551610,127.722033
38590,경상남도,거창군,35.732512,127.904152
38600,경상남도,합천군,35.576571,128.141569
39010,제주특별자치도,제주시,33.454410,126.531557
39020,제주특별자치도,서귀포시,33.313251,126.558946
